,Enrichment,FuelTemperature,WaterTemperature,Pitch,FuelRadius,WaterDensity,Keff,Std_dev
3462,6.58,1694.6,570.344873,1.914,0.675,0.731,1.42229,0.00044
3463,1.97,881.5,315.901297,1.128,0.372,0.998,1.25566,0.00042
3464,2.92,1573.7,428.465543,1.071,0.333,0.92,1.33563,0.00045
3465,1.1,1452.2,500.137623,1.54,0.383,0.842,0.99453,0.00034
3466,3.41,689.2,501.321849,1.067,0.423,0.841,1.20283,0.00043
3467,2.54,670.6,337.115831,1.307,0.525,0.988,1.21093,0.00044
3468,2.51,560.4,359.69837,1.901,0.429,0.974,1.27681,0.00038
3469,3.38,1265.6,324.029053,1.832,0.468,0.994,1.41296,0.00041
3470,8.53,1246.8,456.677928,1.746,0.565,0.892,1.54363,0.00039
3471,1.35,1479.7,405.898353,1.547,0.597,0.94,1.0726,0.00044
3472,5.92,1187.5,598.343745,1.604,0.469,0.664,1.48777,0.00042
3473,4.55,1085.8,467.430633,1.18,0.201,0.881,1.3781,0.00044
3474,6.3,1308.2,355.20571,1.88,0.55,0.977,1.55403,0.00038
3475,3.92,637.6,547.251536,1.871,0.45,0.774,1.46529,0.00035
3476,2.98,1333.5,599.321393,1.821,0.37,0.661,1.34889,0.0004
3477,8.93,510.1,377.855417,1.618,0.47,0.962,1.61188,0.00035
3478,4.72,1038.3,561.919348,1.501,0.645,0.748,1.15852,0.00041
3479,3.07,1701.5,322.044444,1.715,0.748,0.995,1.15419,0.00043
3480,2.0,959.9,336.791988,1.178,0.324,0.988,1.25492,0.00039
3481,6.82,1083.7,428.150306,1.922,0.825,0.92,1.30693,0.00038
3482,3.95,1147.9,455.378836,1.325,0.587,0.894,1.09901,0.00037
3483,3.51,524.9,401.013554,1.979,0.881,0.944,1.19142,0.00046
3484,4.47,1524.6,408.372772,1.483,0.472,0.938,1.45208,0.00043
3485,7.65,1411.6,409.999398,1.606,0.692,0.937,1.28518,0.00038
3486,1.14,479.3,333.642546,1.71,0.669,0.989,1.06451,0.0004
3487,1.17,1144.7,531.384108,1.662,0.315,0.799,0.89503,0.00028
3488,3.06,1727.9,356.812947,1.534,0.542,0.976,1.34043,0.00044
3489,7.71,1693.3,406.943453,1.097,0.401,0.939,1.39544,0.00041
3490,6.98,989.0,413.062118,1.98,0.733,0.934,1.46905,0.00043
3491,4.22,964.4,492.687164,1.997,0.56,0.852,1.48501,0.00038
3492,4.45,1148.4,595.825749,1.836,0.61,0.671,1.40013,0.00037
3493,8.73,652.5,382.554754,1.915,0.33,0.958,1.54264,0.00042
3494,1.84,993.3,582.653128,1.058,0.317,0.705,1.19674,0.00039
3495,2.51,1632.4,593.191033,1.792,0.564,0.679,1.30005,0.0004
3496,1.0,1650.6,423.740036,1.499,0.627,0.924,0.92424,0.00044
3497,4.72,1692.8,340.131926,1.879,0.822,0.986,1.22665,0.00043
3498,3.09,1778.8,396.762321,1.782,0.754,0.947,1.1886,0.00045
3499,6.36,1300.3,428.29948,1.014,0.359,0.92,1.39586,0.00042
3500,4.34,925.1,312.44685,1.736,0.611,0.999,1.43832,0.00045
3501,4.41,1226.1,334.643824,1.768,0.522,0.989,1.48723,0.00042
3502,2.95,798.0,526.606025,1.033,0.387,0.806,1.21646,0.00038
3503,1.99,1612.5,571.703912,1.818,0.419,0.729,1.22812,0.00042
3504,2.37,820.8,486.430899,1.012,0.305,0.859,1.30055,0.00042
3505,5.51,538.4,477.572371,1.355,0.348,0.869,1.54155,0.00037
3506,6.65,1604.5,502.865492,1.008,0.262,0.839,1.52825,0.0004
3507,7.72,602.7,530.928313,1.151,0.449,0.8,1.33914,0.00045
3508,3.87,988.9,512.794949,1.97,0.532,0.826,1.46736,0.00041
3509,5.63,1797.7,330.342089,1.408,0.499,0.991,1.42873,0.00033
3510,4.57,1458.6,504.248579,1.791,0.313,0.837,1.39033,0.00034
3511,8.4,1419.2,521.423939,1.512,0.425,0.813,1.56849,0.00036
3512,8.72,856.1,473.277966,1.04,0.248,0.874,1.60406,0.00039
3513,2.44,814.2,424.333621,1.738,0.518,0.924,1.33931,0.0004
3514,8.0,1237.1,396.64678,1.173,0.236,0.948,1.58065,0.00035
3515,4.29,463.0,315.875302,1.605,0.57,0.998,1.44274,0.00048
3516,2.07,1729.3,389.919295,1.219,0.376,0.953,1.26139,0.00039
3517,3.98,1606.4,569.608869,1.405,0.353,0.733,1.44413,0.00041
3518,7.44,1273.4,443.345716,1.664,0.519,0.906,1.54196,0.0004
3519,4.63,1308.2,560.357234,1.563,0.349,0.751,1.48329,0.00038
3520,3.25,909.8,413.508304,1.987,0.375,0.934,1.28612,0.00041
3521,4.2,707.2,469.24066,1.466,0.413,0.879,1.47938,0.00034
3522,1.81,1362.7,458.803845,1.477,0.435,0.89,1.22741,0.00037
3523,7.02,1586.4,376.187457,1.023,0.314,0.963,1.50036,0.0004
3524,7.32,1644.8,437.192317,1.287,0.423,0.912,1.48363,0.00034
3525,2.38,742.8,459.214918,1.952,0.868,0.89,1.09735,0.00044
3526,6.6,1184.7,570.751311,1.599,0.613,0.73,1.34047,0.00051
3527,6.97,1213.9,549.469099,1.944,0.317,0.77,1.50729,0.00037
3528,1.48,442.9,357.286867,1.928,0.803,0.976,1.11976,0.00041
3529,5.1,906.6,324.017455,1.643,0.418,0.994,1.52125,0.00042
3530,1.52,625.4,474.971154,1.671,0.598,0.872,1.16868,0.00038
3531,4.35,1385.0,511.336862,1.841,0.373,0.827,1.44176,0.00035
3532,4.28,1155.6,525.699861,1.674,0.516,0.807,1.45144,0.00033
3533,3.36,846.2,510.035136,1.602,0.415,0.829,1.42747,0.00036
3534,5.55,1225.3,541.628358,1.968,0.387,0.783,1.50377,0.00042
3535,1.66,1556.6,520.381672,1.045,0.391,0.815,1.08406,0.00046
3536,7.31,1067.2,521.250382,1.085,0.333,0.814,1.49406,0.0004
3537,5.62,752.8,494.78112,1.613,0.525,0.849,1.48822,0.00042
3538,4.89,1205.8,337.433771,1.381,0.516,0.987,1.38153,0.00043
3539,3.55,576.5,510.839915,1.186,0.48,0.828,1.20169,0.00042
3540,4.44,986.3,410.079601,1.953,0.533,0.936,1.49611,0.00041
3541,1.07,1514.8,553.977948,1.934,0.708,0.762,1.03505,0.00043
3542,8.24,685.8,543.590981,1.862,0.846,0.78,1.23587,0.00042
3543,5.46,1003.1,568.744365,1.486,0.366,0.735,1.52838,0.00035
3544,3.95,428.8,383.240524,1.035,0.389,0.958,1.32942,0.00046
3545,3.64,1596.0,329.532158,1.743,0.501,0.991,1.437,0.0004
3546,3.07,775.4,323.081414,1.177,0.49,0.994,1.1842,0.00041
3547,2.12,563.3,493.317625,1.403,0.503,0.851,1.24346,0.00047
3548,5.08,1782.1,395.119033,1.85,0.577,0.949,1.49423,0.00034
3549,7.62,1638.1,300.642587,1.083,0.217,1.003,1.55755,0.00037
3550,1.31,694.3,525.118768,1.199,0.313,0.808,1.0918,0.0004
3551,5.9,1470.6,422.549114,1.366,0.451,0.926,1.46838,0.00042
3552,4.01,1530.2,312.86914,1.096,0.316,0.999,1.43826,0.0004
3553,7.39,1314.9,389.870033,1.747,0.45,0.953,1.58817,0.00038
3554,5.57,1783.2,374.645503,1.426,0.448,0.964,1.48932,0.00041
3555,2.53,1432.8,432.847438,1.917,0.876,0.916,1.03719,0.00041
3556,2.52,835.7,308.269282,1.134,0.249,1.0,1.2606,0.0003
3557,1.19,609.5,310.040702,1.305,0.498,1.0,1.07439,0.00041
3558,8.37,1417.3,485.718423,1.78,0.303,0.86,1.55016,0.00039
3559,1.56,964.1,333.351733,1.513,0.654,0.989,1.03803,0.00045
3560,3.12,1096.7,590.100746,1.342,0.325,0.687,1.38461,0.00038
3561,1.5,1045.8,487.463511,1.732,0.399,0.858,1.09557,0.00042
3562,8.27,796.9,509.254643,1.086,0.443,0.83,1.28964,0.00038
3563,6.43,1204.8,344.952217,1.184,0.401,0.983,1.46569,0.00041
3564,1.62,754.4,571.113502,1.151,0.28,0.73,1.15817,0.00043
3565,8.41,970.2,327.009663,1.484,0.321,0.993,1.60236,0.00035
3566,6.32,1679.5,308.106558,1.249,0.48,1.001,1.36372,0.00037
3567,7.9,542.4,440.500913,1.076,0.203,0.909,1.57945,0.00035
3568,6.41,699.0,503.257827,1.931,0.64,0.838,1.5112,0.00039
3569,2.26,1651.6,458.979514,1.676,0.758,0.89,1.0015,0.00043
3570,9.0,1260.7,351.184363,1.683,0.354,0.98,1.60554,0.00033
3571,5.89,499.4,426.519819,1.198,0.344,0.922,1.53718,0.00041
3572,5.91,1765.1,493.485787,1.264,0.385,0.851,1.47821,0.00043
3573,1.53,1425.0,547.951444,1.172,0.432,0.772,1.07155,0.00038
3574,8.34,1541.9,330.631006,1.443,0.478,0.991,1.52394,0.00034
3575,4.37,1141.2,443.07386,1.39,0.335,0.906,1.4763,0.00038
3576,3.5,1645.5,376.954123,1.204,0.223,0.962,1.29761,0.0004
3577,7.66,634.1,342.056067,1.986,0.614,0.985,1.58696,0.00034
3578,8.35,830.2,430.275535,1.591,0.365,0.918,1.61387,0.0004
3579,4.92,834.6,319.778021,1.008,0.389,0.996,1.3168,0.00043
3580,1.95,1312.7,471.975248,1.376,0.513,0.876,1.18564,0.00044
3581,4.29,1236.0,425.212471,1.827,0.632,0.923,1.43006,0.00043
3582,7.46,1002.3,476.792781,1.646,0.623,0.87,1.42043,0.00042
3583,6.55,1047.5,344.583581,1.39,0.509,0.983,1.44022,0.00035
3584,4.37,670.6,380.205779,1.832,0.731,0.96,1.35394,0.00043
3585,1.6,645.6,579.217063,1.51,0.428,0.713,1.19826,0.00045
3586,5.14,1248.0,500.482418,1.983,0.605,0.842,1.49967,0.00036
3587,2.28,1743.9,386.982377,1.678,0.329,0.955,1.15616,0.00039
3588,7.98,1291.0,373.858583,1.287,0.216,0.965,1.52339,0.00038
3589,3.4,1681.1,593.479324,1.503,0.45,0.678,1.37067,0.0004
3590,7.27,1382.0,314.787605,1.942,0.778,0.998,1.40827,0.00044
3591,3.07,1035.1,394.705608,1.104,0.232,0.949,1.32445,0.0004
3592,4.66,1516.3,481.421062,1.868,0.539,0.865,1.49243,0.00042
3593,8.24,1239.8,446.713985,1.779,0.754,0.903,1.32628,0.00045
3594,5.68,1481.5,484.908409,1.819,0.644,0.861,1.43696,0.00037
3595,3.49,1690.8,561.837728,1.242,0.444,0.748,1.27192,0.00042
3596,7.93,1229.7,359.638457,1.922,0.487,0.974,1.60106,0.00039
3597,5.31,1588.9,303.843401,1.429,0.627,1.002,1.1981,0.0004
3598,6.75,513.3,375.708074,1.148,0.331,0.963,1.55715,0.00038
3599,8.05,944.7,538.733086,1.444,0.612,0.788,1.26914,0.0004
3600,2.11,973.5,331.938742,1.207,0.405,0.99,1.26625,0.00043
3601,4.99,1290.0,519.136777,1.368,0.574,0.817,1.19962,0.00042
3602,2.6,1666.7,342.101337,1.653,0.304,0.985,1.15918,0.00036
3603,2.72,569.0,491.102474,1.603,0.654,0.853,1.20466,0.00041
3604,6.26,937.6,502.156371,1.182,0.494,0.84,1.23261,0.00042
3605,2.28,1776.6,324.788541,1.267,0.335,0.994,1.28232,0.00043
3606,8.35,1064.3,412.238829,1.301,0.442,0.935,1.49734,0.00039
3607,6.76,537.7,376.073392,1.688,0.421,0.963,1.58782,0.00036
3608,5.95,410.3,364.163762,1.111,0.481,0.971,1.22439,0.0004
3609,8.85,1132.1,539.871507,1.475,0.644,0.786,1.24685,0.00036
3610,6.61,1540.7,450.874571,1.963,0.545,0.898,1.56285,0.00038
3611,6.04,1456.0,487.870508,1.766,0.724,0.857,1.30494,0.00047
3612,4.25,1484.6,468.775897,1.515,0.375,0.879,1.4714,0.00038
3613,3.48,1074.6,526.839244,1.001,0.357,0.806,1.2775,0.00042
3614,7.83,1191.1,313.117538,1.851,0.378,0.999,1.56323,0.00038
3615,5.78,809.6,490.29126,1.287,0.564,0.854,1.1781,0.00043
3616,5.83,830.0,301.136899,1.037,0.244,1.003,1.53601,0.00039
3617,3.29,725.7,467.150739,1.34,0.455,0.881,1.3682,0.00035
3618,1.51,850.6,493.695722,1.698,0.562,0.85,1.17966,0.00042
3619,2.15,676.9,393.467278,1.682,0.493,0.95,1.29971,0.00041
3620,7.4,1107.6,380.761646,1.615,0.416,0.96,1.5906,0.00033
3621,3.7,535.4,300.184421,1.345,0.516,1.003,1.34174,0.0004
3622,6.73,1411.5,405.416573,1.26,0.423,0.94,1.47008,0.00039
3623,1.79,656.0,467.960385,1.687,0.687,0.88,1.13451,0.0004
3624,2.15,1463.0,461.87042,1.698,0.762,0.887,1.00595,0.00041
3625,3.23,1233.2,443.611483,1.797,0.691,0.906,1.30193,0.00044
3626,7.24,1138.8,588.722083,1.709,0.672,0.69,1.32222,0.00039
3627,3.01,1489.4,432.620808,1.739,0.715,0.916,1.21475,0.00044
3628,5.45,1593.5,477.663311,1.315,0.446,0.869,1.4199,0.0004
3629,6.4,1257.6,589.284496,1.51,0.408,0.689,1.52641,0.00034
3630,6.65,1187.6,336.727214,1.491,0.348,0.988,1.5653,0.00038
3631,1.86,915.9,379.014207,1.861,0.74,0.961,1.19192,0.0005
3632,3.98,1184.7,513.718338,1.332,0.473,0.824,1.34523,0.00045
3633,5.68,1383.2,314.460414,1.389,0.337,0.998,1.53208,0.00042
3634,5.06,670.2,515.262193,1.441,0.447,0.822,1.48154,0.0004
3635,3.83,1117.4,478.296875,1.196,0.432,0.869,1.3235,0.00037
3636,4.84,1076.1,404.675901,1.259,0.469,0.941,1.36073,0.00038
3637,2.16,1465.1,574.264298,1.111,0.244,0.723,1.23677,0.00042
3638,8.05,808.9,511.240996,1.911,0.653,0.828,1.51355,0.0004
3639,1.92,877.0,320.297418,1.943,0.861,0.996,1.08453,0.00045
3640,7.5,1466.4,428.924926,1.061,0.29,0.92,1.55057,0.00039
3641,1.02,396.0,386.251042,1.444,0.411,0.956,1.01363,0.00035
3642,2.85,1086.2,462.143629,1.282,0.568,0.887,1.03488,0.00042
3643,1.36,1505.1,358.27321,1.964,0.312,0.975,0.7722,0.00031
3644,8.15,1435.3,542.469997,1.842,0.32,0.782,1.56315,0.00037
3645,2.7,676.5,375.799876,1.29,0.431,0.963,1.34305,0.00044
3646,5.25,1182.1,406.942553,1.635,0.604,0.939,1.41094,0.00038
3647,2.37,1726.3,478.692991,1.707,0.509,0.868,1.31837,0.00045
3648,3.63,1329.1,324.475646,1.228,0.308,0.994,1.41919,0.0004
3649,4.98,902.9,375.639169,1.076,0.309,0.963,1.49261,0.0004
3650,8.78,378.6,336.516583,1.052,0.311,0.988,1.58559,0.0004
3651,6.41,1368.8,354.645371,1.071,0.402,0.977,1.36537,0.00041
3652,3.63,561.0,548.472155,1.558,0.626,0.772,1.24179,0.0004
3653,4.27,1392.8,508.520891,1.221,0.481,0.831,1.2409,0.0004
3654,8.55,865.8,578.221885,1.237,0.369,0.715,1.52132,0.00043
3655,4.08,1045.9,393.689377,1.662,0.277,0.95,1.29384,0.00036
3656,2.12,1010.6,440.499511,1.866,0.428,0.909,1.22217,0.00035
3657,5.32,1371.3,568.613292,1.292,0.542,0.735,1.16823,0.00038
3658,8.7,910.5,385.871884,1.506,0.38,0.956,1.61806,0.00038
3659,3.62,1082.1,398.031634,1.634,0.509,0.946,1.4322,0.00038
3660,3.98,497.5,401.669399,1.447,0.306,0.944,1.42411,0.00039
3661,3.12,1614.1,385.457709,1.163,0.301,0.956,1.37381,0.00039
3662,7.05,1647.6,490.915064,1.797,0.728,0.854,1.33506,0.00046
3663,4.45,1770.6,323.527765,1.385,0.357,0.994,1.472,0.00038
3664,4.61,860.5,496.593054,1.947,0.344,0.847,1.39631,0.00042
3665,8.99,798.4,333.055247,1.423,0.527,0.99,1.4764,0.00037
3666,8.44,1466.0,527.225556,1.878,0.536,0.805,1.57735,0.00036
3667,5.42,1541.1,540.450457,1.063,0.433,0.785,1.18585,0.00044
3668,1.29,1538.6,569.931157,1.062,0.364,0.732,1.04863,0.00034
3669,1.52,1028.2,400.674847,1.065,0.368,0.944,1.13944,0.0004
3670,1.46,1496.4,563.011093,1.995,0.686,0.746,1.15497,0.00042
3671,1.38,1321.1,350.894176,1.324,0.557,0.98,1.00824,0.00038
3672,7.77,1615.3,335.237883,1.668,0.593,0.989,1.48874,0.00037
3673,5.18,1615.2,413.118231,1.698,0.532,0.934,1.49011,0.0004
3674,7.02,1099.4,562.719625,1.767,0.49,0.746,1.55686,0.00037
3675,4.43,916.8,542.295792,1.7,0.468,0.782,1.48552,0.00037
3676,2.03,1677.4,339.919275,1.288,0.544,0.986,1.06888,0.00043
3677,7.17,1658.3,530.236109,1.322,0.405,0.801,1.49664,0.00042
3678,8.57,863.9,569.956858,1.088,0.361,0.732,1.4475,0.00044
3679,5.37,793.4,508.448921,1.08,0.266,0.831,1.51969,0.00032
3680,2.47,894.9,553.238663,1.531,0.507,0.763,1.30146,0.00039
3681,5.65,928.3,437.873231,1.584,0.46,0.911,1.53009,0.00038
3682,4.8,889.5,325.517361,1.999,0.332,0.993,1.32476,0.00036
3683,7.34,507.8,431.325879,1.818,0.552,0.918,1.5778,0.00037
3684,2.01,648.4,300.415427,1.99,0.781,1.003,1.23934,0.00045
3685,6.69,1164.3,552.451062,1.279,0.535,0.765,1.22338,0.0004
3686,5.5,842.7,462.889536,1.093,0.354,0.886,1.45355,0.00037
3687,6.49,1709.3,401.866592,1.12,0.456,0.943,1.26589,0.0004
3688,5.15,616.4,513.862803,1.834,0.703,0.824,1.37892,0.00047
3689,5.43,1312.5,476.578758,1.141,0.401,0.871,1.38518,0.00039
3690,8.02,569.7,418.868278,1.354,0.435,0.929,1.54486,0.0004
3691,3.68,543.7,417.696318,1.94,0.638,0.93,1.44735,0.00038
3692,3.11,1077.0,461.220887,1.846,0.444,0.888,1.38138,0.0004
3693,6.39,1393.0,461.890831,1.354,0.444,0.887,1.47589,0.00037
3694,1.86,1205.3,535.496886,1.541,0.612,0.793,1.11459,0.0005
3695,3.75,1660.2,330.125704,1.22,0.426,0.991,1.36523,0.00041
3696,3.15,567.1,313.831862,1.926,0.346,0.998,1.22905,0.00039
3697,8.46,1703.8,414.64491,1.788,0.624,0.933,1.5028,0.00042
3698,8.91,701.1,514.105145,1.485,0.635,0.824,1.30083,0.00038
3699,4.47,553.6,418.2862,1.459,0.269,0.929,1.40411,0.00041
3700,4.45,464.0,330.583125,1.175,0.503,0.991,1.21209,0.00045
3701,4.46,1366.9,571.75221,1.251,0.54,0.728,1.0914,0.00043
3702,1.06,1020.1,348.700679,1.976,0.607,0.981,1.06815,0.00037
3703,8.43,1332.3,465.999278,1.415,0.547,0.882,1.38646,0.0004
3704,1.87,704.8,597.865146,1.704,0.659,0.666,1.12798,0.00043
3705,4.9,1105.8,382.890094,1.17,0.36,0.958,1.47131,0.0004
3706,7.21,746.1,579.515686,1.219,0.279,0.712,1.57773,0.00044
3707,8.76,965.2,335.491244,1.17,0.491,0.988,1.31205,0.00041
3708,2.01,955.4,360.412751,1.577,0.401,0.974,1.23956,0.00039
3709,7.72,1417.0,402.151232,1.089,0.459,0.943,1.24767,0.00038
3710,8.94,1759.6,467.546177,1.139,0.348,0.881,1.52036,0.0004
3711,1.09,1225.7,418.493544,1.605,0.313,0.929,0.8372,0.00029
3712,5.77,509.4,312.459643,1.201,0.352,0.999,1.53766,0.00039
3713,1.7,1125.4,599.938007,1.137,0.326,0.66,1.18317,0.0004
3714,2.4,729.7,558.018622,1.268,0.449,0.755,1.24019,0.00041
3715,2.21,1786.1,474.275745,1.52,0.541,0.873,1.23692,0.00046
3716,6.26,1586.8,546.947784,1.976,0.653,0.774,1.47608,0.00043
3717,5.23,630.3,321.680554,1.551,0.33,0.995,1.49208,0.00041
3718,3.79,1068.6,569.470981,1.08,0.367,0.733,1.31722,0.00042
3719,4.12,1166.8,431.471739,1.317,0.293,0.917,1.43944,0.00039
3720,4.21,648.9,377.47175,1.853,0.774,0.962,1.29864,0.00037
3721,4.29,1048.7,309.151781,1.801,0.67,1.0,1.40489,0.00043
3722,4.3,675.1,541.726819,1.619,0.663,0.783,1.25002,0.00043
3723,5.03,1020.9,536.255114,1.863,0.502,0.791,1.51614,0.00034
3724,4.71,1670.2,467.49135,1.689,0.66,0.881,1.32029,0.00041
3725,3.01,1401.2,357.588114,1.543,0.623,0.976,1.23637,0.00042
3726,7.43,1391.1,322.058834,1.822,0.554,0.995,1.5667,0.00036
3727,5.64,867.7,343.889985,1.135,0.434,0.984,1.35877,0.00042
3728,6.47,683.4,594.584154,1.796,0.524,0.675,1.5281,0.0004
3729,5.47,1625.0,364.439055,1.295,0.57,0.971,1.1695,0.00043
3730,6.58,1269.5,396.75838,1.405,0.394,0.947,1.5524,0.00036
3731,8.78,1729.9,412.136167,1.047,0.271,0.935,1.58125,0.00041
3732,7.62,1406.2,565.596621,1.15,0.29,0.741,1.55421,0.00044
3733,6.83,930.1,578.839785,1.539,0.693,0.713,1.15293,0.00037
3734,2.2,1486.4,465.465687,1.257,0.554,0.883,0.98339,0.00047
3735,4.06,939.4,365.034963,1.721,0.503,0.971,1.47788,0.00046
3736,6.75,737.3,518.994449,1.951,0.456,0.817,1.58528,0.00033
3737,2.85,341.5,324.940838,1.949,0.606,0.994,1.40232,0.0004
3738,7.67,1133.9,395.387851,1.21,0.462,0.949,1.38899,0.00043
3739,4.86,1780.0,433.344382,1.082,0.342,0.916,1.42881,0.00042
3740,8.44,816.0,513.591537,1.446,0.218,0.824,1.52506,0.00035
3741,3.36,1059.8,372.338993,1.013,0.274,0.966,1.40659,0.00043
3742,8.16,1330.7,594.608639,1.218,0.362,0.675,1.49153,0.00034
3743,4.08,1162.0,508.538606,1.189,0.439,0.831,1.30396,0.00046
3744,2.54,1785.2,322.579117,1.057,0.26,0.995,1.28697,0.00034
3745,4.24,514.5,486.939401,1.504,0.485,0.859,1.45095,0.00041
3746,1.5,1471.2,461.132172,1.29,0.323,0.888,1.1172,0.00038
3747,4.45,824.2,459.15041,1.786,0.4,0.89,1.4766,0.00041
3748,8.94,1088.4,449.366139,1.722,0.327,0.9,1.59428,0.00037
3749,5.8,612.9,344.138301,1.538,0.576,0.984,1.43456,0.00039
3750,4.45,920.2,443.134888,1.544,0.393,0.906,1.49401,0.0004
3751,4.44,1109.9,334.198856,1.568,0.304,0.989,1.3974,0.00038
3752,5.88,970.7,366.302608,1.169,0.277,0.97,1.54035,0.00041
3753,8.9,457.7,389.349096,1.266,0.444,0.953,1.5072,0.00035
3754,4.18,668.9,379.779291,1.061,0.263,0.96,1.46865,0.00038
3755,3.09,1110.4,460.118054,1.057,0.29,0.889,1.37768,0.00042
3756,4.41,1053.4,356.613882,1.191,0.341,0.976,1.47296,0.00044
3757,4.14,379.1,329.296919,1.224,0.41,0.992,1.44126,0.00047
3758,5.41,1385.5,325.147781,1.209,0.41,0.994,1.44392,0.00041
3759,7.33,1738.8,509.560939,1.2,0.384,0.83,1.46921,0.00041
3760,5.89,649.5,466.01762,1.126,0.353,0.882,1.48954,0.00042
3761,6.47,1424.6,360.01436,1.106,0.469,0.974,1.22543,0.00038
3762,5.24,521.1,471.225336,1.066,0.389,0.877,1.37067,0.0004
3763,7.53,891.5,455.961232,1.276,0.54,0.893,1.27225,0.00045
3764,7.72,739.4,419.338143,1.691,0.697,0.928,1.36793,0.00038
3765,1.72,596.7,305.312707,1.049,0.309,1.001,1.21389,0.00046
3766,2.3,383.4,310.307169,1.077,0.224,1.0,1.20836,0.00039
3767,3.82,916.5,440.749768,1.22,0.377,0.908,1.42324,0.00035
3768,5.61,732.4,373.62041,1.809,0.787,0.965,1.27852,0.00044
3769,7.6,670.7,571.419957,1.306,0.304,0.729,1.5922,0.00041
3770,5.09,735.7,355.799401,1.179,0.414,0.977,1.4266,0.00038
3771,6.59,1330.5,399.96458,1.495,0.459,0.945,1.53065,0.0004
3772,6.33,446.7,432.789878,1.088,0.474,0.916,1.20386,0.00038
3773,1.81,1405.2,501.185517,1.213,0.231,0.841,1.06679,0.0004
3774,8.84,1697.5,428.815428,1.594,0.351,0.92,1.6075,0.00035
3775,2.96,1519.4,321.666493,1.62,0.601,0.995,1.31935,0.00044
3776,3.23,971.7,474.96357,1.967,0.816,0.872,1.2334,0.00043
3777,4.9,1761.6,530.68508,1.289,0.301,0.8,1.48807,0.0004
3778,7.15,1739.9,568.971725,1.255,0.521,0.734,1.21447,0.00045
3779,4.68,1309.7,387.647538,1.494,0.564,0.955,1.36608,0.00042
3780,7.82,1454.2,329.468244,1.118,0.353,0.991,1.51728,0.00038
3781,3.18,844.3,521.556179,1.708,0.557,0.813,1.38376,0.00041
3782,3.21,1587.7,316.438615,1.662,0.647,0.997,1.29626,0.00047
3783,6.5,1460.6,411.864989,1.808,0.668,0.935,1.44046,0.00044
3784,4.67,1611.9,470.62394,1.14,0.481,0.877,1.15678,0.00047
3785,8.78,822.4,402.295539,1.761,0.503,0.943,1.60788,0.00035
3786,6.32,1586.5,535.253564,1.983,0.501,0.793,1.55812,0.0004
3787,1.84,828.1,325.33669,1.828,0.716,0.993,1.19744,0.00046
3788,5.33,554.8,449.324093,1.3,0.523,0.9,1.30953,0.00045
3789,7.17,956.0,300.549307,1.584,0.695,1.003,1.28241,0.00035
3790,3.14,1419.4,530.087811,1.828,0.595,0.801,1.36668,0.00037
3791,2.14,1636.4,587.244619,1.309,0.57,0.694,0.93226,0.00046
3792,2.15,1262.0,345.808529,1.143,0.34,0.983,1.27085,0.00039
3793,2.86,541.7,488.479177,1.127,0.221,0.857,1.2919,0.00036
3794,5.07,1512.3,397.550436,1.873,0.466,0.947,1.51306,0.00034
3795,6.07,1188.7,393.566825,1.709,0.314,0.95,1.47774,0.00042
3796,5.59,1699.7,445.464083,1.24,0.365,0.904,1.49138,0.00036
3797,1.56,1717.4,570.115512,1.598,0.505,0.732,1.17198,0.00041
3798,5.44,1447.5,466.939157,1.961,0.717,0.881,1.42152,0.0004
3799,3.98,1327.5,489.226002,1.855,0.311,0.856,1.3113,0.00043
3800,8.51,830.1,520.392124,1.962,0.422,0.815,1.61767,0.0004
3801,2.52,572.7,410.165686,1.06,0.343,0.936,1.31685,0.00041
3802,1.94,634.1,469.04194,1.097,0.471,0.879,1.00234,0.00045
3803,5.57,553.9,521.290352,1.922,0.483,0.814,1.55453,0.00046
3804,5.34,1204.7,327.801825,1.782,0.545,0.992,1.5173,0.00037
3805,3.59,838.4,302.870399,1.767,0.711,1.002,1.31395,0.00039
3806,6.51,684.8,492.608031,1.936,0.66,0.852,1.50188,0.00038
3807,2.07,911.9,574.631762,1.344,0.265,0.722,1.19057,0.00041
3808,3.31,1497.6,386.906067,1.407,0.465,0.955,1.377,0.0004
3809,7.39,960.4,487.198915,1.989,0.663,0.858,1.52488,0.00036
3810,2.38,1642.8,502.658383,1.984,0.877,0.839,1.06277,0.00048
3811,2.22,1693.5,316.363345,1.562,0.34,0.997,1.19178,0.00033
3812,4.61,1795.7,416.43155,1.507,0.471,0.931,1.45729,0.00041
3813,6.29,740.1,400.610772,1.287,0.207,0.944,1.44342,0.00041
3814,2.07,1157.1,448.036572,1.916,0.85,0.901,1.06063,0.00041
3815,2.65,1483.9,565.640442,1.173,0.414,0.741,1.22974,0.00041
3816,8.01,659.4,550.274642,1.047,0.416,0.769,1.29682,0.00043
3817,5.88,1271.5,345.313049,1.624,0.662,0.983,1.33864,0.00043
3818,8.62,618.0,499.333317,1.281,0.272,0.843,1.61749,0.0004
3819,8.21,1415.2,315.475347,1.103,0.361,0.998,1.50423,0.00038
3820,2.09,1768.4,349.4318,1.338,0.315,0.981,1.21366,0.00039
3821,5.47,936.5,416.677527,1.612,0.415,0.931,1.5393,0.00037
3822,2.36,545.5,354.959041,1.959,0.436,0.977,1.25156,0.00037
